patch_id,cluster_label
10000,0
10001,0
10002,1
10003,0
10004,0
10005,0
10006,1
10007,2
10008,0
10009,0
patch_10000,1
patch_10001,0
patch_10002,1
patch_10003,0
patch_10004,0
patch_10005,0
patch_10006,1
patch_10007,2
patch_10008,0
patch_10009,0
patch_10010,1
patch_10011,0
patch_10012,0
patch_10013,1
patch_10014,1
patch_10015,2
patch_10016,0
patch_10017,0
patch_10018,0
patch_10019,0
patch_10020,1
patch_10021,0
patch_10022,1
patch_10023,0
patch_10024,0
patch_10025,0
patch_10026,0
patch_10027,1
patch_10028,1
patch_10029,0
patch_10030,0
patch_10031,0
patch_10032,1
patch_10033,0
patch_10034,1
patch_10035,0
patch_10036,0
patch_10037,0
patch_10038,0
patch_10039,0
patch_10040,0
patch_10041,1
patch_10042,0
patch_10043,0
patch_10044,0
patch_10045,0
patch_10046,0
patch_10047,0
patch_10048,0
patch_10049,1
